# REGULATORY KYC AUDIT EXPORT
# FORMAT: PSV (PIPE DELIMITED)
# SOURCE: COMPLIANCE_MAIN_DB
verification_id|customer_id|document_type|id_number_masked|verification_vendor|confidence_score|facial_match_pct|screening_flags|verified_timestamp
KYC-10024|C81426|DRIVERS_LICENSE|DRIV-****-880|IDnow|0.86|70.6|CLEAR|2022-08-24 00:00:00
KYC-10025|C64987|NATIONAL_ID|NATI-****-511|Onfido|0.81|82.5|ADDRESS_MISMATCH_WARN|2022-07-06 00:00:00
KYC-10026|C38893|NATIONAL_ID|NATI-****-677|Jumio|0.56|50.5|TAMPERED_DOC_SUSPECTED|2024-09-18 00:00:00
KYC-10027|C68878|NATIONAL_ID|NATI-****-700|Jumio|0.36|56.6|CLEAR|2021-09-29 00:00:00
KYC-10028|C87236|DRIVERS_LICENSE|DRIV-****-880|Veriff|0.87|49.2|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-05-27 00:00:00
KYC-10029|C46463|PASSPORT|PASS-****-548|Trulioo|0.52|43.5|CLEAR|2023-06-28 00:00:00
KYC-10030|C10851|NATIONAL_ID|NATI-****-741|Jumio|0.45|65.1|PEP_HIT;SANCTION_CLEAR|2022-03-06 00:00:00
KYC-10031|C30926|RESIDENCE_PERMIT|RESI-****-849|Jumio|0.73|54.1|CLEAR|2022-11-26 00:00:00
KYC-10032|C65392|PASSPORT|PASS-****-698|Jumio|0.64|82.2|CLEAR|2024-11-19 00:00:00
KYC-10033|C54597|DRIVERS_LICENSE|DRIV-****-501|Veriff|0.7|50.4|EXPIRED_DOC|2024-11-22 00:00:00
KYC-10034|C46421|PASSPORT|PASS-****-618|Trulioo|0.39|77.4|EXPIRED_DOC|2022-11-17 00:00:00
KYC-10035|C30379|PASSPORT|PASS-****-618|Onfido|0.72|41.8|EXPIRED_DOC|2022-04-28 00:00:00
KYC-10036|C38221|NATIONAL_ID|NATI-****-958|Veriff|0.51|57.7|TAMPERED_DOC_SUSPECTED|2022-02-26 00:00:00
KYC-10037|C54118|PASSPORT|PASS-****-886|Onfido|0.82|49.4|TAMPERED_DOC_SUSPECTED|2022-05-15 00:00:00
KYC-10038|C23396|PASSPORT|PASS-****-462|Trulioo|0.47|59.6|PEP_HIT;SANCTION_CLEAR|2023-06-30 00:00:00
KYC-10039|C22156|DRIVERS_LICENSE|DRIV-****-816|Veriff|0.38|34.8|PEP_HIT;SANCTION_CLEAR|2024-01-09 00:00:00
KYC-10040|C59797|DRIVERS_LICENSE|DRIV-****-755|Veriff|0.74|57.5|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-08-24 00:00:00
KYC-10041|C22676|NATIONAL_ID|NATI-****-791|IDnow|0.38|47.6|CLEAR|2024-10-17 00:00:00
KYC-10042|C57052|RESIDENCE_PERMIT|RESI-****-478|Trulioo|0.97|33.5|HIGH_RISK_GEO;SUSPICIOUS_IP|2024-07-27 00:00:00
KYC-10043|C55082|RESIDENCE_PERMIT|RESI-****-622|Jumio|0.92|66.2|PEP_HIT;SANCTION_CLEAR|2023-05-30 00:00:00
KYC-10044|C89131|RESIDENCE_PERMIT|RESI-****-732|IDnow|0.96|63.6|CLEAR|2024-02-17 00:00:00
KYC-10045|C44671|RESIDENCE_PERMIT|RESI-****-846|Jumio|0.88|43.3|TAMPERED_DOC_SUSPECTED|2023-02-13 00:00:00
KYC-10046|C15695|PASSPORT|PASS-****-672|IDnow|0.52|47.6|CLEAR|2024-05-14 00:00:00
KYC-10047|C70217|PASSPORT|PASS-****-664|Jumio|0.88|80.3|PEP_HIT;SANCTION_CLEAR|2023-11-24 00:00:00
KYC-10048|C80284|RESIDENCE_PERMIT|RESI-****-657|Onfido|0.41|47.4|EXPIRED_DOC|2022-12-15 00:00:00
KYC-10049|C26361|PASSPORT|PASS-****-744|IDnow|0.47|80.5|CLEAR|2023-05-02 00:00:00
KYC-10050|C59615|PASSPORT|PASS-****-659|IDnow|0.56|34.9|PEP_HIT;SANCTION_CLEAR|2022-07-16 00:00:00
KYC-10051|C20328|NATIONAL_ID|NATI-****-615|Veriff|0.9|80.8|EXPIRED_DOC|2023-10-22 00:00:00
KYC-10052|C82357|NATIONAL_ID|NATI-****-876|Onfido|0.57|30.5|HIGH_RISK_GEO;SUSPICIOUS_IP|2024-11-14 00:00:00
KYC-10053|C48427|DRIVERS_LICENSE|DRIV-****-473|Veriff|0.83|36.3|CLEAR|2021-09-19 00:00:00
KYC-10054|C92397|RESIDENCE_PERMIT|RESI-****-367|Trulioo|0.8|87.7|EXPIRED_DOC|2023-02-27 00:00:00
KYC-10055|C91070|RESIDENCE_PERMIT|RESI-****-986|Onfido|0.93|66.7|EXPIRED_DOC|2024-12-10 00:00:00
KYC-10056|C57400|DRIVERS_LICENSE|DRIV-****-914|Veriff|0.59|80.0|CLEAR|2022-11-06 00:00:00
KYC-10057|C85674|PASSPORT|PASS-****-832|Onfido|0.88|78.3|EXPIRED_DOC|2022-04-19 00:00:00
KYC-10058|C35203|NATIONAL_ID|NATI-****-716|Trulioo|0.9|73.3|EXPIRED_DOC|2023-08-07 00:00:00
KYC-10059|C19116|NATIONAL_ID|NATI-****-134|Jumio|0.5|86.0|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-12-27 00:00:00
KYC-10060|C16006|PASSPORT|PASS-****-547|Jumio|0.45|44.9|CLEAR|2022-10-29 00:00:00
KYC-10061|C96673|DRIVERS_LICENSE|DRIV-****-373|IDnow|0.78|60.6|CLEAR|2023-11-15 00:00:00
KYC-10062|C39871|NATIONAL_ID|NATI-****-158|Jumio|0.36|79.7|CLEAR|2022-10-08 00:00:00
KYC-10063|C47930|RESIDENCE_PERMIT|RESI-****-613|Onfido|0.62|58.8|ADDRESS_MISMATCH_WARN|2022-03-05 00:00:00
KYC-10064|C20458|RESIDENCE_PERMIT|RESI-****-753|Onfido|0.41|54.4|CLEAR|2022-01-21 00:00:00
KYC-10065|C40512|PASSPORT|PASS-****-183|IDnow|0.93|96.5|HIGH_RISK_GEO;SUSPICIOUS_IP|2024-09-03 00:00:00
KYC-10066|C23238|DRIVERS_LICENSE|DRIV-****-305|IDnow|0.56|95.6|CLEAR|2024-09-25 00:00:00
KYC-10067|C59823|NATIONAL_ID|NATI-****-211|IDnow|0.57|34.7|CLEAR|2022-08-01 00:00:00
KYC-10068|C46434|DRIVERS_LICENSE|DRIV-****-199|IDnow|0.76|73.1|CLEAR|2023-01-28 00:00:00
KYC-10069|C69429|PASSPORT|PASS-****-981|Veriff|0.56|47.8|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-07-16 00:00:00
KYC-10070|C93320|PASSPORT|PASS-****-295|IDnow|0.83|57.1|PEP_HIT;SANCTION_CLEAR|2024-07-01 00:00:00
KYC-10071|C57819|RESIDENCE_PERMIT|RESI-****-708|IDnow|0.99|34.7|TAMPERED_DOC_SUSPECTED|2023-01-26 00:00:00
KYC-10072|C31319|NATIONAL_ID|NATI-****-983|Veriff|0.6|97.0|TAMPERED_DOC_SUSPECTED|2022-12-26 00:00:00
KYC-10073|C58520|DRIVERS_LICENSE|DRIV-****-459|IDnow|0.35|82.2|CLEAR|2022-04-14 00:00:00
KYC-10074|C56566|NATIONAL_ID|NATI-****-111|Trulioo|0.68|94.6|EXPIRED_DOC|2021-12-09 00:00:00
KYC-10075|C37460|DRIVERS_LICENSE|DRIV-****-456|Veriff|0.91|73.5|EXPIRED_DOC|2021-12-12 00:00:00
KYC-10076|C97841|PASSPORT|PASS-****-433|IDnow|0.8|76.4|EXPIRED_DOC|2021-11-24 00:00:00
KYC-10077|C44993|PASSPORT|PASS-****-514|IDnow|0.54|81.7|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-12-20 00:00:00
KYC-10078|C99593|RESIDENCE_PERMIT|RESI-****-304|Onfido|0.62|39.1|CLEAR|2022-06-12 00:00:00
KYC-10079|C94939|PASSPORT|PASS-****-574|Jumio|0.8|89.8|CLEAR|2022-05-23 00:00:00
KYC-10080|C19358|PASSPORT|PASS-****-102|Veriff|0.63|58.2|TAMPERED_DOC_SUSPECTED|2023-03-25 00:00:00
KYC-10081|C89840|RESIDENCE_PERMIT|RESI-****-516|Veriff|0.71|48.0|PEP_HIT;SANCTION_CLEAR|2022-07-07 00:00:00
KYC-10082|C93227|DRIVERS_LICENSE|DRIV-****-712|IDnow|0.44|49.3|TAMPERED_DOC_SUSPECTED|2024-10-25 00:00:00
KYC-10083|C32431|PASSPORT|PASS-****-479|Jumio|0.7|47.5|TAMPERED_DOC_SUSPECTED|2024-07-04 00:00:00
KYC-10084|C80010|PASSPORT|PASS-****-297|Veriff|0.98|91.5|TAMPERED_DOC_SUSPECTED|2023-04-24 00:00:00
KYC-10085|C42087|DRIVERS_LICENSE|DRIV-****-772|IDnow|0.61|68.6|CLEAR|2024-07-15 00:00:00
KYC-10086|C31417|RESIDENCE_PERMIT|RESI-****-846|IDnow|0.81|63.5|TAMPERED_DOC_SUSPECTED|2023-10-15 00:00:00
KYC-10087|C70589|RESIDENCE_PERMIT|RESI-****-662|Veriff|0.78|37.1|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-01-13 00:00:00
KYC-10088|C59735|PASSPORT|PASS-****-436|Veriff|0.56|98.8|HIGH_RISK_GEO;SUSPICIOUS_IP|2024-06-17 00:00:00
KYC-10089|C45382|RESIDENCE_PERMIT|RESI-****-303|Veriff|0.77|57.6|ADDRESS_MISMATCH_WARN|2024-08-25 00:00:00
KYC-10090|C93886|RESIDENCE_PERMIT|RESI-****-257|IDnow|0.57|65.5|CLEAR|2024-03-17 00:00:00
KYC-10091|C83000|PASSPORT|PASS-****-457|Trulioo|0.44|73.0|EXPIRED_DOC|2024-05-09 00:00:00
KYC-10092|C38785|NATIONAL_ID|NATI-****-267|Onfido|0.43|49.3|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-01-18 00:00:00
KYC-10093|C99733|PASSPORT|PASS-****-331|Onfido|0.5|32.2|EXPIRED_DOC|2024-09-15 00:00:00
KYC-10094|C52504|DRIVERS_LICENSE|DRIV-****-226|Veriff|0.82|31.7|EXPIRED_DOC|2022-07-23 00:00:00
KYC-10095|C17331|DRIVERS_LICENSE|DRIV-****-762|Trulioo|0.52|62.2|EXPIRED_DOC|2024-02-12 00:00:00
KYC-10096|C40021|PASSPORT|PASS-****-430|Jumio|0.73|47.2|CLEAR|2023-06-11 00:00:00
KYC-10097|C14207|NATIONAL_ID|NATI-****-360|IDnow|0.6|37.3|EXPIRED_DOC|2024-10-09 00:00:00
KYC-10098|C51347|DRIVERS_LICENSE|DRIV-****-889|Jumio|0.46|47.7|EXPIRED_DOC|2024-10-03 00:00:00
KYC-10099|C62581|DRIVERS_LICENSE|DRIV-****-652|Jumio|0.39|69.6|CLEAR|2023-07-19 00:00:00
KYC-10100|C45093|NATIONAL_ID|NATI-****-218|Trulioo|0.83|88.0|CLEAR|2024-08-28 00:00:00
KYC-10101|C18675|PASSPORT|PASS-****-480|Trulioo|0.93|54.2|EXPIRED_DOC|2024-12-08 00:00:00
KYC-10102|C37653|DRIVERS_LICENSE|DRIV-****-731|Onfido|0.57|59.1|TAMPERED_DOC_SUSPECTED|2022-03-02 00:00:00
KYC-10103|C84341|PASSPORT|PASS-****-969|Jumio|0.75|64.0|PEP_HIT;SANCTION_CLEAR|2024-12-02 00:00:00
KYC-10104|C51245|NATIONAL_ID|NATI-****-524|Jumio|0.58|66.9|CLEAR|2024-02-02 00:00:00
KYC-10105|C37869|RESIDENCE_PERMIT|RESI-****-257|Trulioo|0.71|70.2|PEP_HIT;SANCTION_CLEAR|2024-10-27 00:00:00
KYC-10106|C95909|RESIDENCE_PERMIT|RESI-****-536|Onfido|0.39|71.1|CLEAR|2022-04-02 00:00:00
KYC-10107|C75435|RESIDENCE_PERMIT|RESI-****-289|Veriff|0.92|46.9|CLEAR|2021-12-19 00:00:00
KYC-10108|C61856|RESIDENCE_PERMIT|RESI-****-826|Trulioo|0.91|42.4|EXPIRED_DOC|2024-02-05 00:00:00
KYC-10109|C94259|PASSPORT|PASS-****-776|Trulioo|0.62|91.2|ADDRESS_MISMATCH_WARN|2022-11-01 00:00:00
KYC-10110|C70142|NATIONAL_ID|NATI-****-625|Veriff|0.49|47.9|ADDRESS_MISMATCH_WARN|2024-09-20 00:00:00
KYC-10111|C28726|NATIONAL_ID|NATI-****-306|IDnow|0.5|49.4|PEP_HIT;SANCTION_CLEAR|2022-12-22 00:00:00
KYC-10112|C44718|RESIDENCE_PERMIT|RESI-****-892|Veriff|0.55|76.3|PEP_HIT;SANCTION_CLEAR|2024-06-27 00:00:00
KYC-10113|C28301|RESIDENCE_PERMIT|RESI-****-852|Onfido|0.41|58.2|CLEAR|2024-09-01 00:00:00
KYC-10114|C42325|DRIVERS_LICENSE|DRIV-****-115|Veriff|0.83|52.2|CLEAR|2023-01-28 00:00:00
KYC-10115|C83579|DRIVERS_LICENSE|DRIV-****-679|Onfido|0.67|41.3|CLEAR|2022-04-17 00:00:00
KYC-10116|C80644|NATIONAL_ID|NATI-****-948|IDnow|0.77|47.4|ADDRESS_MISMATCH_WARN|2022-10-03 00:00:00
KYC-10117|C44438|PASSPORT|PASS-****-323|Onfido|0.88|35.0|EXPIRED_DOC|2023-07-12 00:00:00
KYC-10118|C86622|PASSPORT|PASS-****-410|Jumio|0.82|54.1|TAMPERED_DOC_SUSPECTED|2022-11-11 00:00:00
KYC-10119|C66155|DRIVERS_LICENSE|DRIV-****-722|Jumio|0.76|84.6|TAMPERED_DOC_SUSPECTED|2024-09-02 00:00:00
KYC-10120|C86484|NATIONAL_ID|NATI-****-842|IDnow|0.6|56.2|TAMPERED_DOC_SUSPECTED|2024-01-27 00:00:00
KYC-10121|C62350|DRIVERS_LICENSE|DRIV-****-326|IDnow|0.86|40.7|EXPIRED_DOC|2022-03-01 00:00:00
KYC-10122|C57447|PASSPORT|PASS-****-944|Trulioo|0.44|83.6|EXPIRED_DOC|2024-09-28 00:00:00
KYC-10123|C38746|RESIDENCE_PERMIT|RESI-****-572|Trulioo|0.75|33.2|EXPIRED_DOC|2023-11-03 00:00:00
KYC-10124|C28131|DRIVERS_LICENSE|DRIV-****-636|Jumio|0.61|48.0|PEP_HIT;SANCTION_CLEAR|2023-10-14 00:00:00
KYC-10125|C76784|RESIDENCE_PERMIT|RESI-****-831|IDnow|0.82|66.5|PEP_HIT;SANCTION_CLEAR|2024-03-08 00:00:00
KYC-10126|C74686|PASSPORT|PASS-****-742|Veriff|0.5|77.4|HIGH_RISK_GEO;SUSPICIOUS_IP|2024-06-28 00:00:00
KYC-10127|C21915|NATIONAL_ID|NATI-****-330|IDnow|0.89|45.0|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-02-06 00:00:00
KYC-10128|C16175|DRIVERS_LICENSE|DRIV-****-541|Veriff|0.86|95.8|PEP_HIT;SANCTION_CLEAR|2024-11-18 00:00:00
KYC-10129|C24371|DRIVERS_LICENSE|DRIV-****-461|Onfido|0.74|93.0|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-10-02 00:00:00
KYC-10130|C30033|PASSPORT|PASS-****-638|IDnow|0.86|34.8|CLEAR|2022-01-08 00:00:00
KYC-10131|C92240|PASSPORT|PASS-****-229|Jumio|0.59|62.5|EXPIRED_DOC|2023-10-05 00:00:00
KYC-10132|C30969|DRIVERS_LICENSE|DRIV-****-444|Onfido|0.88|59.1|CLEAR|2024-09-18 00:00:00
KYC-10133|C99192|RESIDENCE_PERMIT|RESI-****-436|Onfido|0.61|72.5|CLEAR|2022-01-21 00:00:00
KYC-10134|C65333|RESIDENCE_PERMIT|RESI-****-212|Veriff|0.48|47.0|TAMPERED_DOC_SUSPECTED|2023-07-05 00:00:00
KYC-10135|C88172|DRIVERS_LICENSE|DRIV-****-701|IDnow|0.75|90.6|TAMPERED_DOC_SUSPECTED|2022-04-12 00:00:00
KYC-10136|C18326|PASSPORT|PASS-****-529|Jumio|0.76|83.1|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-05-26 00:00:00
KYC-10137|C60432|DRIVERS_LICENSE|DRIV-****-228|Onfido|0.5|75.4|CLEAR|2022-10-05 00:00:00
KYC-10138|C60019|NATIONAL_ID|NATI-****-711|Veriff|0.57|70.5|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-12-15 00:00:00
KYC-10139|C88104|PASSPORT|PASS-****-448|Jumio|0.93|93.7|PEP_HIT;SANCTION_CLEAR|2023-01-20 00:00:00
KYC-10140|C71348|RESIDENCE_PERMIT|RESI-****-519|Onfido|0.71|89.3|EXPIRED_DOC|2023-05-13 00:00:00
KYC-10141|C79352|DRIVERS_LICENSE|DRIV-****-244|Trulioo|0.73|62.1|HIGH_RISK_GEO;SUSPICIOUS_IP|2021-12-11 00:00:00
KYC-10142|C42953|NATIONAL_ID|NATI-****-192|Onfido|0.83|97.9|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-04-07 00:00:00
KYC-10143|C82512|DRIVERS_LICENSE|DRIV-****-678|Trulioo|0.42|30.1|CLEAR|2024-08-01 00:00:00
KYC-10144|C11504|DRIVERS_LICENSE|DRIV-****-371|IDnow|0.52|91.9|CLEAR|2023-12-10 00:00:00
KYC-10145|C99166|PASSPORT|PASS-****-151|Veriff|0.75|34.3|TAMPERED_DOC_SUSPECTED|2024-08-23 00:00:00
KYC-10146|C25014|PASSPORT|PASS-****-899|IDnow|0.95|62.6|CLEAR|2023-08-17 00:00:00
KYC-10147|C99353|DRIVERS_LICENSE|DRIV-****-314|Veriff|0.83|64.5|CLEAR|2022-02-21 00:00:00
KYC-10148|C80381|DRIVERS_LICENSE|DRIV-****-828|Onfido|0.43|62.7|CLEAR|2024-06-02 00:00:00
KYC-10149|C44973|PASSPORT|PASS-****-214|Jumio|0.67|62.7|TAMPERED_DOC_SUSPECTED|2024-07-28 00:00:00
KYC-10150|C94012|PASSPORT|PASS-****-298|Onfido|0.79|35.8|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-09-03 00:00:00
KYC-10151|C54587|RESIDENCE_PERMIT|RESI-****-363|IDnow|0.51|35.1|PEP_HIT;SANCTION_CLEAR|2022-08-15 00:00:00
KYC-10152|C24621|RESIDENCE_PERMIT|RESI-****-101|IDnow|0.93|38.8|ADDRESS_MISMATCH_WARN|2023-01-14 00:00:00
KYC-10153|C48469|NATIONAL_ID|NATI-****-555|Jumio|0.76|55.7|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-11-09 00:00:00
KYC-10154|C66985|NATIONAL_ID|NATI-****-943|Jumio|0.91|71.8|TAMPERED_DOC_SUSPECTED|2024-04-18 00:00:00
KYC-10155|C30730|DRIVERS_LICENSE|DRIV-****-602|Onfido|0.85|42.2|HIGH_RISK_GEO;SUSPICIOUS_IP|2022-01-18 00:00:00
KYC-10156|C69470|NATIONAL_ID|NATI-****-562|Onfido|0.85|62.9|CLEAR|2024-01-23 00:00:00
KYC-10157|C10425|RESIDENCE_PERMIT|RESI-****-221|IDnow|0.72|54.2|CLEAR|2022-01-11 00:00:00
KYC-10158|C44522|DRIVERS_LICENSE|DRIV-****-120|Trulioo|0.55|99.6|PEP_HIT;SANCTION_CLEAR|2022-01-06 00:00:00
KYC-10159|C75612|NATIONAL_ID|NATI-****-851|Trulioo|0.72|52.1|CLEAR|2024-04-15 00:00:00
KYC-10160|C33416|PASSPORT|PASS-****-695|IDnow|0.62|70.9|ADDRESS_MISMATCH_WARN|2024-02-27 00:00:00
KYC-10161|C76542|PASSPORT|PASS-****-416|IDnow|0.44|33.5|EXPIRED_DOC|2023-06-07 00:00:00
KYC-10162|C23947|DRIVERS_LICENSE|DRIV-****-789|Veriff|0.82|76.3|ADDRESS_MISMATCH_WARN|2023-09-16 00:00:00
KYC-10163|C91959|DRIVERS_LICENSE|DRIV-****-684|Trulioo|0.92|70.9|ADDRESS_MISMATCH_WARN|2023-10-22 00:00:00
KYC-10164|C49117|DRIVERS_LICENSE|DRIV-****-793|Onfido|0.74|30.1|ADDRESS_MISMATCH_WARN|2023-05-08 00:00:00
KYC-10165|C93748|NATIONAL_ID|NATI-****-428|Onfido|0.39|91.5|PEP_HIT;SANCTION_CLEAR|2023-07-18 00:00:00
KYC-10166|C76540|DRIVERS_LICENSE|DRIV-****-608|Trulioo|0.8|58.1|CLEAR|2023-09-16 00:00:00
KYC-10167|C89818|DRIVERS_LICENSE|DRIV-****-548|Veriff|0.5|64.5|PEP_HIT;SANCTION_CLEAR|2022-10-26 00:00:00
KYC-10168|C36071|DRIVERS_LICENSE|DRIV-****-917|Veriff|0.54|99.9|TAMPERED_DOC_SUSPECTED|2022-04-05 00:00:00
KYC-10169|C30032|NATIONAL_ID|NATI-****-966|Veriff|0.69|54.7|TAMPERED_DOC_SUSPECTED|2023-09-14 00:00:00
KYC-10170|C59009|PASSPORT|PASS-****-836|Veriff|0.96|51.6|HIGH_RISK_GEO;SUSPICIOUS_IP|2023-06-29 00:00:00
KYC-10171|C31174|PASSPORT|PASS-****-289|IDnow|0.87|72.8|CLEAR|2022-03-19 00:00:00
KYC-10172|C80697|DRIVERS_LICENSE|DRIV-****-222|IDnow|0.41|34.9|EXPIRED_DOC|2024-07-12 00:00:00
KYC-10173|C79514|NATIONAL_ID|NATI-****-949|Veriff|0.8|33.5|PEP_HIT;SANCTION_CLEAR|2023-06-08 00:00:00
KYC-10174|C10074|PASSPORT|PASS-****-431|Jumio|0.4|40.0|PEP_HIT;SANCTION_CLEAR|2024-01-30 00:00:00
KYC-10175|C88504|NATIONAL_ID|NATI-****-771|Jumio|0.74|43.0|CLEAR|2022-07-15 00:00:00
KYC-10176|C52487|NATIONAL_ID|NATI-****-900|Veriff|0.83|62.6|CLEAR|2024-10-29 00:00:00
KYC-10177|C74042|PASSPORT|PASS-****-982|Veriff|0.83|53.4|HIGH_RISK_GEO;SUSPICIOUS_IP|2021-11-14 00:00:00
KYC-10178|C12552|DRIVERS_LICENSE|DRIV-****-982|Trulioo|0.87|71.3|EXPIRED_DOC|2023-04-24 00:00:00
KYC-10179|C24662|RESIDENCE_PERMIT|RESI-****-500|IDnow|0.45|39.1|PEP_HIT;SANCTION_CLEAR|2023-07-26 00:00:00
KYC-10180|C57576|DRIVERS_LICENSE|DRIV-****-416|Veriff|0.79|72.3|ADDRESS_MISMATCH_WARN|2024-03-24 00:00:00
KYC-10181|C50306|PASSPORT|PASS-****-447|Trulioo|0.87|76.1|HIGH_RISK_GEO;SUSPICIOUS_IP|2024-08-16 00:00:00
KYC-10182|C41385|DRIVERS_LICENSE|DRIV-****-308|IDnow|0.71|35.3|TAMPERED_DOC_SUSPECTED|2023-05-02 00:00:00
KYC-10183|C17592|DRIVERS_LICENSE|DRIV-****-675|IDnow|0.85|67.7|CLEAR|2024-09-08 00:00:00
KYC-10184|C41571|NATIONAL_ID|NATI-****-131|Jumio|0.84|39.9|PEP_HIT;SANCTION_CLEAR|2023-05-23 00:00:00
KYC-10185|C84364|NATIONAL_ID|NATI-****-737|Onfido|0.47|88.3|ADDRESS_MISMATCH_WARN|2022-10-30 00:00:00
KYC-10186|C20322|NATIONAL_ID|NATI-****-229|Trulioo|0.6|75.3|CLEAR|2024-07-04 00:00:00
KYC-10187|C21226|RESIDENCE_PERMIT|RESI-****-794|Jumio|0.61|72.2|CLEAR|2023-08-16 00:00:00
KYC-10188|C73699|NATIONAL_ID|NATI-****-250|IDnow|0.43|52.9|TAMPERED_DOC_SUSPECTED|2023-09-13 00:00:00
KYC-10189|C19071|NATIONAL_ID|NATI-****-664|Veriff|0.51|37.8|CLEAR|2023-10-18 00:00:00
KYC-10190|C79822|PASSPORT|PASS-****-555|Veriff|0.61|83.5|PEP_HIT;SANCTION_CLEAR|2022-06-18 00:00:00
KYC-10191|C26483|DRIVERS_LICENSE|DRIV-****-674|Veriff|0.95|61.4|CLEAR|2024-11-17 00:00:00
KYC-10192|C26828|RESIDENCE_PERMIT|RESI-****-340|IDnow|0.36|68.4|TAMPERED_DOC_SUSPECTED|2022-04-24 00:00:00
KYC-10193|C96474|NATIONAL_ID|NATI-****-597|Trulioo|0.59|56.4|CLEAR|2023-04-30 00:00:00
